Body,Department,Supplier Name,Invoice Creation Date,Invoice Nett Amount,Subj Description
Lambeth,Adults' and Community Services,Acorn Residential Home,22/08/2012,3310.18,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Acorn Residential Home,22/08/2012,2997.66,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Acorn Residential Home,24/08/2012,3015.33,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Acorn Village,13/08/2012,3942.56,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Action For Blind People,24/08/2012,1234.80,SUPPORTIVE EMPLOYMENT VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Addlestone Lodge,24/08/2012,1422.28,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Agape House,24/08/2012,1331.76,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Age UK Lambeth,07/08/2012,12201.72,FLOATING SUPPORT SERVICES
Lambeth,Adults' and Community Services,Albany Lodge Nursing Home,24/08/2012,1720.84,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,Albany Lodge Nursing Home,24/08/2012,2431.30,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Albany Lodge Nursing Home,24/08/2012,1579.94,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Alice Lodge,28/08/2012,2878.58,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Allied Healthcare (Uk) Ltd,27/07/2012,11404.20,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,AmicusHorizon Ltd,07/08/2012,1920.04,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Anchor Trust,07/08/2012,2554.44,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Aquarius Group,24/08/2012,1082.47,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Arlington House Residential Home,24/08/2012,908.33,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashbrook House Ltd,24/08/2012,4107.76,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashbrook House Ltd,24/08/2012,3202.16,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashchurch House Ltd,24/08/2012,5444.17,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashdene House Ltd,24/08/2012,3239.09,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashdene House Ltd,24/08/2012,2793.67,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashmill Residential Care Home Ltd,24/08/2012,2976.65,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Ashton Lodge,24/08/2012,1243.54,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Assisi Community Care,28/08/2012,1303.08,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,22/08/2012,3841.79,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,22/08/2012,2970.02,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,22/08/2012,3014.97,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1095.85,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1520.78,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,957.64,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1023.80,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1520.78,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1505.72,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1594.28,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1594.28,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,2796.11,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,1505.71,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,24/08/2012,2878.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1246.10,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,2384.96,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1574.36,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1197.92,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,965.88,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1108.25,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,3406.23,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1055.50,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1081.46,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1054.88,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,957.41,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,921.14,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1550.00,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1142.66,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1505.72,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1505.72,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1341.86,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,2115.31,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,2683.72,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,2345.74,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1050.05,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1525.85,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,980.81,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,3490.16,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,3100.00,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,3753.22,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1964.96,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,2657.14,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,1108.02,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,28/08/2012,2878.58,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Atlas Healthcare Ltd,28/08/2012,7068.00,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Autumn Lodge Care Home,24/08/2012,1373.09,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Autumnvale Care Centre ,24/08/2012,3163.90,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Avens Ltd,22/08/2012,4278.64,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Avens Ltd,22/08/2012,2139.32,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3549.55,MAINTENANCE EXPENSES - CLIENTS
Lambeth,Adults' and Community Services,BHHI,24/08/2012,2905.27,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3340.07,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,BHHI,24/08/2012,2621.75,NURSING CARE - FNC - LAMBETH PCT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3662.47,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3194.63,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3438.83,NURSING CARE - FNC - LAMBETH PCT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,2803.31,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,2551.59,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3340.07,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,BHHI,24/08/2012,2725.37,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3586.06,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,BHHI,24/08/2012,3148.08,NURSING CARE - FNC - LAMBETH PCT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,2803.31,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BHHI,24/08/2012,4043.95,NURSING CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,BT Melodians Steel Orchestra,08/08/2012,600,GUEST ARTISTS AND SPEAKERS
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,1268.73,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,2666.70,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,1990.74,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,5150.16,NURSING CARE - FNC - LAMBETH PCT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,4594.54,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,2225.85,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,2384.83,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,3371.74,NURSING CARE - FNC - LAMBETH PCT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,2123.58,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,3112.92,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,3486.62,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,3634.40,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,614.6,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,1797.10,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,3885.72,RESIDENTIAL RESPITE CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,24/08/2012,2560.28,NURSING RESPITE CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,28/08/2012,3300.26,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Homes,28/08/2012,3848.78,NURSING CARE - FNC - LAMBETH PCT
Lambeth,Adults' and Community Services,BUPA Care Services,24/08/2012,1622.23,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,BUPA Care Services,24/08/2012,2168.68,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Barchester Healthcare Homes Ltd,24/08/2012,1745.02,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Barka UK,07/08/2012,28849.30,STREET POPULATION OUTREACH
Lambeth,Adults' and Community Services,Beacon House Nursing Home,24/08/2012,4119.28,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Beecholme Adult Care,28/08/2012,2210.00,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Beverley Grange Nursing Home,24/08/2012,1144.76,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Blakedown Landscapes (SE) Ltd,10/08/2012,340794.00,ENVIRONMENTAL IMPROVEMENTS
Lambeth,Adults' and Community Services,Blakedown Landscapes (SE) Ltd,16/08/2012,180461.00,ENVIRONMENTAL IMPROVEMENTS
Lambeth,Adults' and Community Services,Blanchworth Care,24/08/2012,1128.09,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,Brain Injury Rehabilitation Trust,24/08/2012,5330.12,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Brigstock House,24/08/2012,10075.00,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,British Gas Business,07/08/2012,6735.38,GAS -  GENERAL
Lambeth,Adults' and Community Services,British Gas Business,17/08/2012,1538.75,GAS -  GENERAL
Lambeth,Adults' and Community Services,British Gas Business,17/08/2012,1840.73,GAS -  GENERAL
Lambeth,Adults' and Community Services,British Gas Business,23/08/2012,2073.26,GAS -  GENERAL
Lambeth,Adults' and Community Services,Broadlands Nursing Home,24/08/2012,1843.62,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Broadway,07/08/2012,19364.48,RESETTLEMENT SERVICE
Lambeth,Adults' and Community Services,Broadway,07/08/2012,46764.36,STREET POPULATION OUTREACH
Lambeth,Adults' and Community Services,Broadway,07/08/2012,30659.84,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Brookdale Healthcare,24/08/2012,14539.00,NURSING CARE HEALTH SPOT
Lambeth,Adults' and Community Services,Broome Park Nursing Home,22/08/2012,6428.57,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Broome Park Nursing Home,22/08/2012,6642.86,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Bupa Care Homes  Seabrooke Manor Residential & Nursing Home,24/08/2012,1642.92,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,CILIP,10/08/2012,700,SUBSCRIPTIONS
Lambeth,Adults' and Community Services,CT Plus,06/08/2012,115046.25,HIRED & CONTRACTED SERVICES - GENERAL
Lambeth,Adults' and Community Services,CT Plus,06/08/2012,1211.76,HIRED VEHICLES
Lambeth,Adults' and Community Services,CW Services Plumbing and Heating LTD,14/08/2012,1199.42,REACTIVE MAINTENANCE
Lambeth,Adults' and Community Services,Camber Lodge,13/08/2012,3298.36,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Camber Lodge,13/08/2012,2665.73,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Cameron Lodge Residential Care,24/08/2012,3319.36,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Trade Charitable Trust,13/08/2012,520,SUPPORTIVE EMPLOYMENT VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Care Uk Community Partnerships Ltd,24/08/2012,1026.40,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Care Unlimited,24/08/2012,4525.82,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,24/08/2012,3322.63,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,1465.34,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,3030.69,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,2657.14,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,2060.13,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,4208.92,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,4018.14,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,3882.52,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,4415.28,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,3733.28,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,1265.65,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,3839.74,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care Unlimited,28/08/2012,12769.28,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Care and Residential Homes Ltd,24/08/2012,2281.16,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,509.28,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,1041.96,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,1578.76,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,940.32,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,1613.12,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,2035.60,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),13/08/2012,1566.88,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lambeth),24/08/2012,3361.36,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Carewatch (Lewisham),21/08/2012,822.01,DOMICILIARY CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Cascade Care,24/08/2012,7300.19,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Castlebar Health Care Ltd,24/08/2012,2197.05,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Castlebar Health Care Ltd,24/08/2012,2500.82,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Castlebar Health Care Ltd,24/08/2012,1422.02,CONTRIBUTIONS - PRIVATE NURSING CARE
Lambeth,Adults' and Community Services,Centrepoint Soho Ltd,07/08/2012,44439.84,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Champions Place,01/08/2012,2078.28,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Charing Healthcare,24/08/2012,1753.72,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,4860.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,810,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,3375.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,2565.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,1080.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,1080.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,1080.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,1080.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,1080.00,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Charlie Chaplin Adventure Playground,13/08/2012,540,DOMICILIARY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Chas Newens Marine Co Ltd,17/08/2012,2725.00,EQUIPMENT - OTHER
Lambeth,Adults' and Community Services,Chatsworth Care,22/08/2012,6474.35,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Chatsworth Care,22/08/2012,6610.44,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,22/08/2012,7460.46,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Chatsworth Care,22/08/2012,8130.37,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,22/08/2012,6347.25,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,22/08/2012,7307.63,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,24/08/2012,6610.39,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Chatsworth Care,24/08/2012,8130.32,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,24/08/2012,7460.41,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,24/08/2012,6347.20,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Chatsworth Care,24/08/2012,7307.58,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Chatsworth Care,24/08/2012,6474.30,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Cherrycroft Care Home Limited,24/08/2012,3198.27,RNCC CONTRIBUTION - PAID DIRECTLY TO PROVIDER
Lambeth,Adults' and Community Services,Chilton Meadows Residential and Nursing Home,24/08/2012,1437.16,NURSING CARE - RNCC - OTHER PCTS
Lambeth,Adults' and Community Services,Chislehurst Care Ltd,24/08/2012,1166.04,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Choice Support,22/08/2012,8451.72,SUPPORTED HOUSING - VOLUNTARY
Lambeth,Adults' and Community Services,Christ the King Residential Care Homes Ltd,28/08/2012,2012.78,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Citibank NA,15/08/2012,829.19,DIRECT PAYMENTS TO CLIENTS (TRANSFER)
Lambeth,Adults' and Community Services,Citibank NA,15/08/2012,514.28,MAINTENANCE EXPENSES - CLIENTS
Lambeth,Adults' and Community Services,Citibank NA,15/08/2012,762.58,MAINTENANCE EXPENSES - CLIENTS
Lambeth,Adults' and Community Services,Citibank NA,15/08/2012,510,MAINTENANCE EXPENSES - CLIENTS
